text,label
Contract between Alpha Ltd and Beta LLC | Effective: 2024-09-26 | Term: 12 months | Signed: 2023-05-26 | Value: 158921.00,contract
Quote Q-6125 | Date: 2025-09-24 | Expires: 2025-10-24 | Item: Service Package | Price: 6636.00,quote
Quote Q-5312 | Date: 2024-02-24 | Expires: 2024-03-25 | Item: Service Package | Price: 6885.00,quote
Credit Memo CM-4688 | Date: 2023-12-01 | Reference Invoice: INV-6579 | Amount Credited: 563.00,credit_memo
Expense Report | Employee: John Doe | Period: 2024-04-03 to 2023-04-09 | Meals: 89.00 | Lodging: 478.00 | Total: 574.00,expense_report
"Meeting Minutes | Date: 2024-04-06 | Attendees: Alice, Bob, Frank | Summary: Discuss project milestones and next steps.",meeting_minutes
"Meeting Minutes | Date: 2025-01-28 | Attendees: Bob, Frank, Dana | Summary: Discuss project milestones and next steps.",meeting_minutes
Expense Report | Employee: John Doe | Period: 2025-09-17 to 2025-06-07 | Meals: 50.00 | Lodging: 481.00 | Total: 1215.00,expense_report
Receipt #: R-70889 | Date: 2023-12-06 | Store: RetailMart | Items: 3 | Total Paid: 219.00,receipt
Invoice: INV-6271 | Date: 2025-12-06 | Vendor: VendorCo | Subtotal: 1688.00 | Tax: 298.00 | Total: 1108.00,invoice
PO: PO-7047 | Date: 2025-05-31 | Requester: Ops Team | Item: Widget A x18 | Total: 1032.00,purchase_order
Contract between Alpha Ltd and Beta LLC | Effective: 2023-01-26 | Term: 12 months | Signed: 2024-03-16 | Value: 87163.00,contract
"Meeting Minutes | Date: 2023-03-12 | Attendees: Alice, Eve, Dana | Summary: Discuss project milestones and next steps.",meeting_minutes
"Meeting Minutes | Date: 2025-12-01 | Attendees: Frank, Alice, Dana | Summary: Discuss project milestones and next steps.",meeting_minutes
Employee: Jane Smith | Date: 2024-06-06 | Project: ProjectX | Task: Development | Hours: 8 | Billable: Yes,timesheet
Invoice: INV-8173 | Date: 2024-10-19 | Vendor: VendorCo | Subtotal: 2252.00 | Tax: 421.00 | Total: 3635.00,invoice
W-2 | Employer: Acme Corp | Tax Year: 2023 | Wages: 23851.00 | Tax Withheld: 1431.00,tax_form
Account: 69822600 | Date: 2025-03-20 | Description: ATM Withdrawal | Amount: -330.00 | Balance: 10873.00,bank_statement
Receipt #: R-29789 | Date: 2025-12-16 | Store: RetailMart | Items: 3 | Total Paid: 564.00,receipt
Contract between Alpha Ltd and Beta LLC | Effective: 2024-11-24 | Term: 12 months | Signed: 2025-09-17 | Value: 179228.00,contract
Email Subject: Project Update | Date: 2023-02-28 | From: sender@example.com | To: team@example.com | Snippet: Please find attached the latest update on deliverables.,correspondence
Credit Memo CM-4125 | Date: 2024-08-01 | Reference Invoice: INV-7168 | Amount Credited: 1101.00,credit_memo
PO: PO-7733 | Date: 2025-10-14 | Requester: Ops Team | Item: Widget A x44 | Total: 1656.00,purchase_order
Employee: Jane Smith | Date: 2025-07-21 | Project: ProjectX | Task: Development | Hours: 8 | Billable: Yes,timesheet
Expense Report | Employee: John Doe | Period: 2023-04-07 to 2023-02-16 | Meals: 197.00 | Lodging: 755.00 | Total: 447.00,expense_report
Employee: Jane Smith | Date: 2025-02-18 | Project: ProjectX | Task: Development | Hours: 6 | Billable: Yes,timesheet
Receipt #: R-82223 | Date: 2025-03-25 | Store: RetailMart | Items: 3 | Total Paid: 321.00,receipt
Expense Report | Employee: John Doe | Period: 2025-03-26 to 2024-01-16 | Meals: 75.00 | Lodging: 611.00 | Total: 609.00,expense_report
Expense Report | Employee: John Doe | Period: 2023-08-16 to 2024-11-24 | Meals: 44.00 | Lodging: 715.00 | Total: 558.00,expense_report
Receipt #: R-69961 | Date: 2025-08-31 | Store: RetailMart | Items: 3 | Total Paid: 683.00,receipt
W-2 | Employer: Acme Corp | Tax Year: 2023 | Wages: 40115.00 | Tax Withheld: 4102.00,tax_form
Receipt #: R-55303 | Date: 2024-09-14 | Store: RetailMart | Items: 3 | Total Paid: 405.00,receipt
Email Subject: Project Update | Date: 2025-10-29 | From: sender@example.com | To: team@example.com | Snippet: Please find attached the latest update on deliverables.,correspondence
